,alpha,beta,K,M,accuracy
515,3,3,10,40,0.006271784941337281
516,3,3,10,50,0.006293427497437065
517,3,3,10,60,0.006398223032236017
518,3,3,10,70,0.006304818316436952
519,3,3,10,80,0.00630595739833694
520,3,3,20,10,0.006118008884838821
521,3,3,20,20,0.0050210730151497894
522,3,3,20,30,0.005049550062649505
523,3,3,20,40,0.0050392983255496075
524,3,3,20,50,0.005059801799749401
525,3,3,20,60,0.005722747465542772
526,3,3,20,70,0.00506207996354938
527,3,3,20,80,0.00506207996354938
528,3,3,30,10,0.005426586171545734
529,3,3,30,20,0.005433420662945666
530,3,3,30,30,0.005458480464745416
531,3,3,30,40,0.005449367809545507
532,3,3,30,50,0.005467593119945324
533,3,3,30,60,0.005467593119945324
534,3,3,30,70,0.005468732201845312
535,3,3,30,80,0.005468732201845312
536,3,3,40,10,0.00493905911835061
537,3,3,40,20,0.0049709534115502906
538,3,3,40,30,0.004981205148650188
539,3,3,40,40,0.00498803964005012
540,3,3,40,50,0.0049925959676500745
541,3,3,40,60,0.004986900558150131
542,3,3,40,70,0.00498803964005012
543,3,3,40,80,0.00498803964005012
544,3,3,50,10,0.0059949880396400505
545,3,3,50,20,0.006017769677639823
546,3,3,50,30,0.00602802141473972
547,3,3,50,40,0.006024604169039755
548,3,3,50,50,0.006037134069939629
549,3,3,50,60,0.00603599498803964
550,3,3,50,70,0.006037134069939629
551,3,3,50,80,0.006037134069939629
552,3,3,60,10,0.006033716824239663
553,3,3,60,20,0.00606105478983939
554,3,3,60,30,0.006064472035539356
555,3,3,60,40,0.006070167445039298
556,3,3,60,50,0.006075862854539241
557,3,3,60,60,0.00607700193643923
558,3,3,60,70,0.006080419182139196
559,3,3,60,80,0.006080419182139196
560,3,3,70,10,0.0064927668299350726
561,3,3,70,20,0.006506435812734935
562,3,3,70,30,0.006508713976534913
563,3,3,70,40,0.006510992140334891
564,3,3,70,50,0.006516687549834833
565,3,3,70,60,0.0065178266317348224
566,3,3,70,70,0.006521243877434788
567,3,3,70,80,0.006521243877434788
568,3,3,80,10,0.006014352431939857
569,3,3,80,20,0.006030299578539697
570,3,3,80,30,0.006034855906139652
571,3,3,80,40,0.006037134069939629
572,3,3,80,50,0.006040551315639594
573,3,3,80,60,0.006040551315639594
574,3,3,80,70,0.006040551315639594
575,3,3,80,80,0.0060416903975395835
576,3,4,10,10,0.006399362114136007
577,3,4,10,20,0.006272924023237271
578,3,4,10,30,0.006284314842237157
579,3,4,10,40,0.006292288415537077
580,3,4,10,50,0.006292288415537077
581,3,4,10,60,0.006292288415537077
