,ws,gamma,c,accuracy
205,90,auto,5.0,0.7143460807099091
206,90,0.1,5.0,0.7323050919078808
207,90,1,5.0,0.8070990914853159
208,90,5,5.0,0.798647792098035
209,90,10,5.0,0.7407563912951616
210,90,scale,6.0,0.7192055778575956
211,90,auto,6.0,0.7185717304035495
212,90,0.1,6.0,0.734206634270019
213,90,1,6.0,0.8087893513627721
214,90,5,6.0,0.7994929220367631
215,90,10,6.0,0.7407563912951616
216,110,scale,0.1,0.6855151045701007
217,110,auto,0.1,0.6868060934675961
218,110,0.1,0.1,0.6991995868835528
219,110,1,0.1,0.6718306222566486
220,110,5,0.1,0.6098631551768655
221,110,10,0.1,0.41724761167053964
222,110,scale,0.5,0.7180480247869868
223,110,auto,0.5,0.7183062225664859
224,110,0.1,0.5,0.7276013426284534
225,110,1,0.5,0.8053188742576813
226,110,5,0.5,0.7366382649109218
227,110,10,0.5,0.605990188484379
228,110,scale,1.0,0.7278595404079525
229,110,auto,1.0,0.7276013426284534
230,110,0.1,1.0,0.7438678027368965
231,110,1,1.0,0.8120320165246578
232,110,5,1.0,0.7492899561063775
233,110,10,1.0,0.65427317325071
234,110,scale,1.5,0.7366382649109218
235,110,auto,1.5,0.7353472760134263
236,110,0.1,1.5,0.7510973405628711
237,110,1,1.5,0.8143557965401498
238,110,5,1.5,0.7547121094758585
239,110,10,1.5,0.6617609088561839
240,110,scale,2.0,0.7446423960753937
241,110,auto,2.0,0.7415440227214046
242,110,0.1,2.0,0.7585850761683449
243,110,1,2.0,0.8190033565711334
244,110,5,2.0,0.7598760650658405
245,110,10,2.0,0.6780273689646269
246,110,scale,3.0,0.7541957139168604
247,110,auto,3.0,0.7516137361218693
248,110,0.1,3.0,0.7712367673638006
249,110,1,3.0,0.8200361476891299
250,110,5,3.0,0.7632326361993287
251,110,10,3.0,0.6821585334366125
252,110,scale,4.0,0.7580686806093467
253,110,auto,4.0,0.7572940872708495
254,110,0.1,4.0,0.7756261296152853
255,110,1,4.0,0.8187451587916343
256,110,5,4.0,0.7627162406403305
257,110,10,4.0,0.6806093467596178
258,110,scale,5.0,0.7624580428608314
259,110,auto,5.0,0.7606506584043378
260,110,0.1,5.0,0.78001549186677
261,110,1,5.0,0.8187451587916343
262,110,5,5.0,0.7609088561838369
263,110,10,5.0,0.6806093467596178
264,110,scale,6.0,0.7655564162148205
265,110,auto,6.0,0.7658146139943196
266,110,0.1,6.0,0.7815646785437645
267,110,1,6.0,0.8190033565711334
268,110,5,6.0,0.7593596695068422
269,110,10,6.0,0.6803511489801187
270,130,scale,0.1,0.6225205981080256
271,130,auto,0.1,0.6203844980164784
272,130,0.1,0.1,0.6347268843454379
273,130,1,0.1,0.6170277693011901
274,130,5,0.1,0.18828196521208423
275,130,10,0.1,0.14372902044552946
276,130,scale,0.5,0.6676838571864511
277,130,auto,0.5,0.6670735428745804
278,130,0.1,0.5,0.682636557827281
279,130,1,0.5,0.7207812023191944
280,130,5,0.5,0.5260909368324688
281,130,10,0.5,0.30485199877937136
282,130,scale,1.0,0.6832468721391517
283,130,auto,1.0,0.6841623436069576
284,130,0.1,1.0,0.6942325297528227
285,130,1,1.0,0.7540433323161428
286,130,5,1.0,0.6673787000305157
287,130,10,1.0,0.5819346963686298
288,130,scale,1.5,0.6908758010375343
289,130,auto,1.5,0.6896551724137931
290,130,0.1,1.5,0.7039975587427525
291,130,1,1.5,0.7705218187366494
292,130,5,1.5,0.7610619469026548
293,130,10,1.5,0.6798901434238633
294,130,scale,2.0,0.6972841013121758
295,130,auto,2.0,0.6951480012206286
296,130,0.1,2.0,0.7091852303936528
297,130,1,2.0,0.7796765334147086
298,130,5,2.0,0.7387854745193775
299,130,10,2.0,0.6591394568202624
300,130,scale,3.0,0.7009459871833994
301,130,auto,3.0,0.7003356728715289
302,130,0.1,3.0,0.7158986878242295
303,130,1,3.0,0.7894415624046384
304,130,5,3.0,0.7332926457125419
305,130,10,3.0,0.65669819957278
306,130,scale,4.0,0.7061336588342997
307,130,auto,4.0,0.7052181873664938
308,130,0.1,4.0,0.721391516631065
309,130,1,4.0,0.7918828196521208
310,130,5,4.0,0.7332926457125419
311,130,10,4.0,0.6573085138846506
312,130,scale,5.0,0.709490387549588
313,130,auto,5.0,0.7082697589258468
314,130,0.1,5.0,0.7250534025022887
315,130,1,5.0,0.7931034482758621
316,130,5,5.0,0.7335978028684773
317,130,10,5.0,0.6573085138846506
318,130,scale,6.0,0.7146780592004882
319,130,auto,6.0,0.713457430576747
320,130,0.1,6.0,0.7277998169057064
321,130,1,6.0,0.7961550198352151
322,130,5,6.0,0.7335978028684773
323,130,10,6.0,0.6573085138846506
